代码,名称,最新价,总市值
836961,西磁科技,36.52,2585250800.0
834770,艾能聚,19.87,2585726317.0
839725,惠丰钻石,28.44,2595861000.0
920128,胜业电气,31.99,2597268100.0
837006,晟楠科技,29.21,2637289112.0
831087,秋乐种业,16.07,2654764000.0
833943,优机股份,26.3,2670012241.0
872351,华光源海,30.38,2674516637.0
833030,立方控股,29.1,2684278168.0
836942,恒立钻具,44.1,2704525110.0
832171,志晟信息,27.11,2717323001.0
832089,禾昌聚合,18.15,2734624200.0
838670,恒进感应,20.59,2759060000.0
833284,灵鸽科技,26.37,2763197459.0
838837,华原股份,18.42,2794549537.0
838701,豪声电子,20.38,2796136000.0
839729,永顺生物,10.23,2796370500.0
835179,凯德石英,37.73,2828618100.0
831689,克莱特,38.66,2837644000.0
871694,中裕科技,21.56,2847827543.0
872392,佳合科技,37.52,2859211600.0
835184,国源科技,21.7,2877717485.0
837174,宏裕包材,35.68,2901973357.0
837663,明阳科技,22.25,2971543348.0
920108,宏海科技,17.26,2972172000.0
832225,利通科技,23.44,2974978875.0
835985,海泰新能,9.63,2980255806.0
831832,科达自控,27.82,3000953137.0
872925,锦好医疗,30.49,3002065005.0
872190,雷神科技,30.06,3006000030.0
920082,方正阀门,20.71,3010302050.0
838924,广脉科技,28.0,3012002000.0
873223,荣亿精密,19.17,3015153450.0
836699,海达尔,66.76,3045945028.0
832662,方盛股份,34.86,3051993070.0
833523,德瑞锂电,30.46,3085639700.0
836892,广咨国际,18.2,3100394625.0
871981,晶赛科技,41.2,3150481600.0
831010,凯添燃气,13.46,3156370000.0
831305,海希通讯,22.66,3178291600.0
920489,佳先股份,23.47,3202697424.0
873576,天力复合,29.55,3219472500.0
873726,卓兆点胶,39.98,3281448295.0
920007,酉立智能,75.2,3284769840.0
920088,科力股份,37.33,3287709095.0
836807,奔朗新材,18.08,3288390400.0
920682,球冠电缆,10.16,3296716800.0
873305,九菱科技,51.64,3349769577.0
920112,巴兰仕,41.07,3367740000.0
830779,武汉蓝电,42.39,3394367381.0
837344,三元基因,28.23,3438696300.0
835579,机科股份,27.69,3585301200.0
830809,安达科技,6.05,3624252500.0
832885,星辰科技,21.33,3624572772.0
873001,纬达光电,23.59,3624749852.0
837592,华信永道,45.0,3635775000.0
873152,天宏锂电,35.59,3653337167.0
873693,阿为特,50.78,3691706000.0
839790,联迪信息,47.4,3743036748.0
836208,青矩技术,27.99,3745189466.0
831961,创远信科,,3746706525.0
873122,中纺标,41.81,3856642535.0
430510,丰光精密,21.33,3929283106.0
833914,远航精密,39.75,3975000000.0
839273,一致魔芋,38.63,3986168162.0
920018,宏远股份,31.68,4033800588.0
837748,路桥信息,53.11,4075661400.0
920005,鼎佳精密,49.54,4111820000.0
837821,则成电子,30.4,4206201730.0
836720,吉冈精密,16.19,4311512920.0
920101,志高机械,48.5,4323686439.0
830879,基康技术,25.9,4324427973.0
838971,天马新材,42.0,4413696084.0
833575,康乐卫士,15.8,4438852000.0
920111,聚星科技,29.0,4499480500.0
873806,云星宇,15.14,4553153138.0
832735,德源药业,39.24,4603479448.0
872953,国子软件,36.05,4618581440.0
834261,一诺威,16.15,4701793880.0
832491,奥迪威,33.39,4712770780.0
830946,森萱医药,11.4,4866869076.0
836247,华密新材,31.19,4913802538.0
920019,铜冠矿建,23.38,4916035446.0
838402,硅烷科技,11.67,4925440982.0
830839,万通液压,42.28,5040410200.0
833533,骏创科技,39.01,5100843365.0
430418,苏轴股份,31.85,5175293760.0
920106,林泰新材,94.89,5297566365.0
