序号,股票代码,股票简称,解禁时间,限售股类型,解禁数量,实际解禁数量,实际解禁市值,占解禁前流通市值比例,解禁前一交易日收盘价,解禁前20日涨跌幅,解禁后20日涨跌幅
361,301131,聚赛龙,2025/3/14,首发原股东限售股份,24705792,24705792,919055462.4,1.070710293,37.2,,
368,600500,中化国际,2025/3/17,股权激励限售股份,2012800,2012800,7668768,0.000561181,3.81,,
366,600963,岳阳林纸,2025/3/17,股权激励限售股份,1069484,1069484,5037269.64,0.000608502,4.71,,
364,688150,莱特光电,2025/3/17,首发原股东限售股份,538979,538979,11685064.72,0.003014351,21.68,,
363,830839,万通液压,2025/3/17,股权激励限售股份,337500,337500,7138125,0.005185019,21.15,,
367,688173,希荻微,2025/3/17,股权激励期权行权,1480269.9999999998,1480269.9999999998,18606993.9,0.006202764,12.57,,
365,300912,凯龙高科,2025/3/17,股权激励限售股份,844200,844200,11388258,0.009837616,13.49,,
369,301219,腾远钴业,2025/3/17,首发原股东限售股份,4797000,4797000,220470120,0.02857379,45.96,,
370,688207,格灵深瞳,2025/3/17,首发原股东限售股份,10013520,10013520,182947010.4,0.056047038,18.27,,
371,301550,斯菱股份,2025/3/17,追加承诺限售股份上市流通,13358300,13358300,1699175760,0.243180167,127.2,,
372,688175,高凌信息,2025/3/17,首发原股东限售股份,15540000,15540000,287490000,0.268965159,18.5,,
374,688102,斯瑞新材,2025/3/17,首发原股东限售股份,309052242,309052242,3075069808,0.738854521,9.95,,
373,603261,立航科技,2025/3/17,首发原股东限售股份,51207746,51207746,1270976256,1.947264272,24.82,,
379,600705,中航产融,2025/3/18,股权激励限售股份,7931244,7931244,27759354,0.000900825,3.5,,
375,688216,气派科技,2025/3/18,股权激励限售股份,180700,180700,4092855,0.001700386,22.65,,
376,300666,江丰电子,2025/3/18,股权激励限售股份,621200,621200,46310460,0.002817134,74.55,,
378,002749,国光股份,2025/3/18,股权激励限售股份,2276100,2276100,29703105,0.005384957,13.05,,
377,831689,克莱特,2025/3/18,追加承诺限售股份上市流通,720000,720000,19116000,0.019349316,26.55,,
380,300592,华凯易佰,2025/3/18,股权激励限售股份,8193780,8193780,104634570.60000001,0.02236312,12.77,,
381,001308,康冠科技,2025/3/18,首发原股东限售股份,149773838,149773838,3895617526,1.665287539,26.01,,
383,300642,透景生命,2025/3/20,股权激励限售股份,483000,483000,7616910,0.003507448,15.77,,
384,688716,中研股份,2025/3/20,追加承诺限售股份上市流通,977786,977786,44107926.46,0.014464126,45.11,,
382,603091,众鑫股份,2025/3/20,首发机构配售股份,410527,410527,17504871.28,0.020488208,42.64,,
387,601677,明泰铝业,2025/3/20,股权激励限售股份,25606000,25606000,322635600,0.02147268,12.6,,
386,301548,崇德科技,2025/3/20,追加承诺限售股份上市流通,10165950,10165950,513583794,0.429073045,50.52,,
385,301538,骏鼎达,2025/3/20,首发原股东限售股份,8299765,8299765,619743452.6,0.592840357,74.67,,
390,301500,飞南资源,2025/3/21,"首发原股东限售股份,追加承诺限售股份上市流通",6206463,6206463,121274287,0.064191373,19.54,,
389,603344,星德胜,2025/3/21,首发原股东限售股份,5398235,5398235,137762957.2,0.111000006,25.52,,
388,300015,爱尔眼科,2025/3/21,股权激励限售股份,198798,198798,2771244.12,2.5064612e-05,13.94,,
393,688005,容百科技,2025/3/24,股权激励限售股份,95077,95077,3557781.3400000003,0.000301398,37.42,,
392,003003,天元股份,2025/3/24,股权激励限售股份,35370,35370,350516.7,0.000304642,9.91,,
394,603986,兆易创新,2025/3/24,股权激励限售股份,287813,287813,39732584.65,0.000434115,138.05,,
398,601567,三星医疗,2025/3/24,股权激励限售股份,1971300,1971300,53225100,0.001405055,27,,
397,300587,天铁科技,2025/3/24,股权激励限售股份,1688585,1688585,7396002.3,0.001824332,4.38,,
396,603876,鼎胜新材,2025/3/24,股权激励限售股份,1630368,1630368,14021164.799999999,0.001828403,8.6,,
395,300894,火星人,2025/3/24,股权激励限售股份,1130700,1130700,17548464,0.003844996,15.52,,
399,002040,南京港,2025/3/24,股权激励限售股份,2379960,2379960,15517339.2,0.00491761,6.52,,
400,603992,松霖科技,2025/3/24,股权激励限售股份,2790000,2790000,52452000,0.006637577,18.8,,
403,600480,凌云股份,2025/3/24,股权激励限售股份,9158840,9158840,158631108.8,0.009988207,17.32,,
401,000803,山高环能,2025/3/24,股权激励限售股份,5292000,5292000,26883359.999999996,0.011535337,5.08,,
405,688548,广钢气体,2025/3/24,首发原股东限售股份,18893770,18893770,202730152.10000002,0.028522353,10.73,,
402,688197,首药控股,2025/3/24,首发原股东限售股份,8508405,8508405,298645015.5,0.15257268,35.1,,
404,603276,恒兴新材,2025/3/24,追加承诺限售股份上市流通,10605001,10605001,149954714.1,0.158178548,14.14,,
408,002270,华明装备,2025/3/24,定向增发机构配售股份,136986301,136986301,2217808213,0.180429196,16.19,,
409,688238,和元生物,2025/3/24,首发原股东限售股份,174402592,174402592,1015023085.4399999,0.373658634,5.82,,
407,603209,兴通股份,2025/3/24,首发原股东限售股份,96775000,96775000,1619045750,0.52817574,16.73,,
406,301067,显盈科技,2025/3/24,首发原股东限售股份,31311000,31311000,1114358490,0.559113518,35.59,,
411,688306,均普智能,2025/3/24,首发原股东限售股份,760100000,760100000,8733549000,1.623511158,11.49,,
410,301256,华融化学,2025/3/24,首发原股东限售股份,343800000,343800000,2946366000,2.524229075,8.57,,
391,600406,国电南瑞,2025/3/24,股权激励限售股份,21888,21888,516994.56,2.737265e-06,23.62,,
413,605399,晨光新材,2025/3/25,股权激励限售股份,468000,468000,5400720,0.001498956,11.54,,
412,300778,新城市,2025/3/25,股权激励限售股份,401251.00000000006,401251.00000000006,4273323.15,0.001970592,10.65,,
415,002215,诺普信,2025/3/25,股权激励限售股份,1800000,1800000,16812000,0.002266975,9.34,,
417,688577,浙海德曼,2025/3/25,定向增发机构配售股份,3596259,3596259,207432219.1,0.047388246,57.68,,
414,301520,万邦医药,2025/3/25,追加承诺限售股份上市流通,1398300.0000000002,1398300.0000000002,61231557,0.063347691,43.79,,
416,920099,瑞华技术,2025/3/25,公开发行战略配售股份,3200000,3200000,92608000,0.087417327,28.94,,
422,600055,万东医疗,2025/3/25,定向增发机构配售股份,162244859,162244859,3066427835,0.299999999,18.9,,
418,603051,鹿山新材,2025/3/25,首发原股东限售股份,43070895,43070895,1068588905,0.703877122,24.81,,
420,835438,戈碧迦,2025/3/25,公开发行原股东限售股份,61824660,61824660,1174050293.3999999,0.77839969,18.99,,
419,301226,祥明智能,2025/3/25,首发原股东限售股份,59720136,59720136,1611846470.6399999,1.216795059,26.99,,
421,873665,科强股份,2025/3/25,追加承诺限售股份上市流通,91021000,91021000,1133211450,2.335728399,12.45,,
423,001368,通达创智,2025/3/26,股权激励限售股份,560280,560280,11989992,0.017676971,21.4,,
424,688615,合合信息,2025/3/26,首发机构配售股份,1203881,1203881,319991569.8,0.064049446,265.8,,
425,301551,无线传媒,2025/3/26,首发机构配售股份,2392062,2392062,144049973.64000002,0.067400485,60.22,,
426,300956,英力股份,2025/3/26,追加承诺限售股份上市流通,85387130,85387130,1914379455,0.953865614,22.42,,
427,603177,德创环保,2025/3/27,股权激励限售股份,655000,655000,5259650,0.003207765,8.03,,
428,600248,陕建股份,2025/3/27,股权激励限售股份,26400000,26400000,110352000,0.007172564,4.18,,
429,603883,老百姓,2025/3/28,股权激励限售股份,764501.0000000001,764501.0000000001,12652491.549999999,0.001008409,16.55,,
431,603032,德新科技,2025/3/28,股权激励限售股份,2052400,2052400,29205652,0.008918902,14.23,,
430,688603,天承科技,2025/3/28,首发原股东限售股份,820014,820014,67979160.6,0.027150718,82.9,,
432,300909,汇创达,2025/3/28,定向增发机构配售股份,6581834,6581834,179684068.2,0.057613759,27.3,,
434,300654,世纪天鸿,2025/3/28,定向增发机构配售股份,26497555.000000004,26497555.000000004,331219437.5,0.081225076,12.5,,
433,688719,爱科赛博,2025/3/28,追加承诺限售股份上市流通,13667639.999999998,13667639.999999998,495451950,0.185954443,36.25,,
435,301536,星宸科技,2025/3/28,"首发原股东限售股份,首发战略配售股份",148691503,148691503,12826129049,3.923738303,86.26,,
436,300458,全志科技,2025/3/31,股权激励限售股份,213000,213000,11608500,0.000411221,54.5,,
442,601969,海南矿业,2025/3/31,股权激励限售股份,1545900,1545900,10388448,0.00076987,6.72,,
438,605366,宏柏新材,2025/3/31,股权激励限售股份,746200,746200,4581668,0.001180136,6.14,,
446,600031,三一重工,2025/3/31,股权激励限售股份,11193125,11193125,197894450,0.001322405,17.68,,
439,300457,赢合科技,2025/3/31,股权激励限售股份,1143747,1143747,24510498.21,0.001796319,21.43,,
437,300938,信测标准,2025/3/31,股权激励限售股份,214612.00000000003,214612.00000000003,6395437.600000001,0.001903946,29.8,,
444,000952,广济药业,2025/3/31,股权激励限售股份,2594700.0000000005,2594700.0000000005,14763843,0.007543004,5.69,,
440,301313,凡拓数创,2025/3/31,股权激励限售股份,1180000,1180000,32190400,0.017692025,27.28,,
443,688573,信宇人,2025/3/31,首发原股东限售股份,1556776.9999999998,1556776.9999999998,31135540,0.030865456,20,,
441,688193,仁度生物,2025/3/31,首发原股东限售股份,1310826.0000000002,1310826.0000000002,53612783.4,0.04332225,40.9,,
445,001387,雪祺电气,2025/3/31,首发原股东限售股份,7020000,7020000,95401800,0.065674788,13.59,,
447,688329,艾隆科技,2025/3/31,追加承诺限售股份上市流通,23055000,23055000,376027050,0.42580109,16.31,,
450,301263,泰恩康,2025/3/31,首发原股东限售股份,157097362,157097362,2763342598,0.597385476,17.59,,
448,837023,芭薇股份,2025/3/31,公开发行原股东限售股份,51533590.00000001,51533590.00000001,781764560.3,1.503909806,15.17,,
449,301077,星华新材,2025/3/31,追加承诺限售股份上市流通,77129998,77129998,2107962845.3400002,1.972895187,27.33,,
451,300595,欧普康视,2025/4/1,股权激励限售股份,277672,277672,4850929.84,0.000415369,17.47,,
453,600426,华鲁恒升,2025/4/1,股权激励限售股份,3533277,3533277,71089533.24,0.001670033,20.12,,
452,688531,日联科技,2025/4/1,首发战略配售股份,863533.9999999999,863533.9999999999,45680948.6,0.011795893,52.9,,
454,688543,国科军工,2025/4/1,首发原股东限售股份,8400000,8400000,420000000,0.095181085,50,,
456,600654,中安科,2025/4/2,股权激励限售股份,5995500,5995500,21463890,0.002607011,3.58,,
455,300965,*ST恒宇,2025/4/2,追加承诺限售股份上市流通,4180500,4180500,146192085,0.254462451,34.97,,
457,001389,广合科技,2025/4/2,"首发原股东限售股份,首发战略配售股份",112172580,112172580,6823458041.400001,2.94648227,60.83,,
463,601688,华泰证券,2025/4/7,股权激励限售股份,13953056,13953056,248922519,0.001912863,17.84,,
459,603551,奥普科技,2025/4/7,股权激励限售股份,1191500,1191500,12903945.000000002,0.003064881,10.83,,
460,603629,利通电子,2025/4/7,股权激励限售股份,1612000,1612000,46941440,0.006326531,29.12,,
461,688484,南芯科技,2025/4/7,首发战略配售股份,1905900,1905900,72081138,0.006548036,37.82,,
462,688343,云天励飞,2025/4/7,首发战略配售股份,2276867,2276867,158925316.6,0.008829843,69.8,,
458,688535,华海诚科,2025/4/7,首发战略配售股份,1009000,1009000,91223690,0.019612589,90.41,,
464,688295,中复神鹰,2025/4/7,首发原股东限售股份,456950160.00000006,456950160.00000006,9340061270,3.158993414,20.44,,
465,300949,奥雅股份,2025/4/8,股权激励限售股份,151950,151950,6024817.5,0.004429892,39.65,,
468,601607,上海医药,2025/4/8,定向增发机构配售股份,852626796,852626796,16762642809.359999,0.44032481,19.66,,
466,301587,中瑞股份,2025/4/8,"首发原股东限售股份,首发战略配售股份",42907269,42907269,1074827088,1.404687706,25.05,,
467,872931,无锡鼎邦,2025/4/8,公开发行原股东限售股份,65154200,65154200,925189640.0000001,2.264201169,14.2,,
469,002695,煌上煌,2025/4/9,定向增发机构配售股份,44642857,44642857,410714284.40000004,0.096139808,9.2,,
470,600970,中材国际,2025/4/10,股权激励限售股份,3236394,3236394,30681015.12,0.001448603,9.48,,
472,300568,星源材质,2025/4/11,股权激励限售股份,764859,764859,8635258.11,0.000630119,11.29,,
471,603690,至纯科技,2025/4/11,股权激励限售股份,518400.00000000006,518400.00000000006,13483584,0.001344509,26.01,,
475,600970,中材国际,2025/4/11,股权激励限售股份,15240527,15240527,144480196,0.006821627,9.48,,
473,001279,强邦新材,2025/4/11,首发机构配售股份,819429,819429,32719799.97,0.022264347,39.93,,
474,920019,铜冠矿建,2025/4/11,公开发行战略配售股份,12798200,12798200,260955298,0.297171597,20.39,,
477,301076,新瀚新材,2025/4/11,首发原股东限售股份,60569600,60569600,2201099264,0.87366689,36.34,,
476,688691,灿芯股份,2025/4/11,"首发原股东限售股份,首发战略配售股份",45965010,45965010,3734197412,1.802549412,81.24,,
480,002430,杭氧股份,2025/4/14,股权激励限售股份,178500,178500,3750285,0.000182566,21.01,,
479,301057,汇隆新材,2025/4/14,股权激励限售股份,25000,25000,331000,0.000302299,13.24,,
482,605488,福莱新材,2025/4/14,股权激励限售股份,920170,920170,57510625,0.00476567,62.5,,
481,003028,振邦智能,2025/4/14,股权激励限售股份,482000,482000,21680360,0.008916571,44.98,,
483,688337,普源精电,2025/4/14,定向增发机构配售股份,2166377,2166377,82668946.32,0.032956351,38.16,,
487,000756,新华制药,2025/4/14,定向增发机构配售股份,37091988,37091988,558605339.3,0.081425659,15.06,,
486,688302,海创药业,2025/4/14,首发原股东限售股份,8790661,8790661,300816419.41999996,0.120876265,34.22,,
484,301135,瑞德智能,2025/4/14,首发原股东限售股份,6132000,6132000,157101840,0.123987245,25.62,,
485,301279,金道科技,2025/4/14,首发原股东限售股份,7500000,7500000,166950000,0.260869565,22.26,,
489,688153,唯捷创芯,2025/4/14,首发原股东限售股份,46914930.00000001,46914930.00000001,1956352581,0.412395073,41.7,,
488,001218,丽臣实业,2025/4/14,追加承诺限售股份上市流通,43008000,43008000,701890560,0.577567451,16.32,,
490,832786,骑士乳业,2025/4/14,追加承诺限售股份上市流通,97292030,97292030,728717304.6999999,0.888422685,7.49,,
478,002937,兴瑞科技,2025/4/14,股权激励限售股份,18940,18940,380883.4,6.3817255e-05,20.11,,
491,603279,景津装备,2025/4/15,股权激励限售股份,4376026,4376026,73517236.8,0.007649762,16.8,,
492,301539,宏鑫科技,2025/4/15,首发原股东限售股份,37176452,37176452,741670217.4,1.004768973,19.95,,
493,603161,科华控股,2025/4/16,股权激励限售股份,1886156,1886156,21275839.68,0.009986922,11.28,,
495,002536,飞龙股份,2025/4/16,定向增发机构配售股份,9012812,9012812,138256536.1,0.016798307,15.34,,
494,301522,上大股份,2025/4/16,首发机构配售股份,3722817.9999999995,3722817.9999999995,134133132.5,0.05269343,36.03,,
496,002785,万里石,2025/4/16,定向增发机构配售股份,25814695,25814695,759468326.9,0.153805584,29.42,,
500,000848,承德露露,2025/4/17,股权激励限售股份,3900000,3900000,32565000,0.003751736,8.35,,
502,600654,中安科,2025/4/17,股权激励限售股份,15660000,15660000,56062800,0.006809406,3.58,,
499,688433,华曙高科,2025/4/17,首发战略配售股份,1657290.0000000002,1657290.0000000002,70153085.7,0.00826797,42.33,,
498,830839,万通液压,2025/4/17,公开发行原股东限售股份,1350000,1350000,28552500,0.020740075,21.15,,
497,301556,托普云农,2025/4/17,首发机构配售股份,1006801,1006801,115480074.7,0.054873471,114.7,,
501,603722,阿科力,2025/4/17,定向增发机构配售股份,7762621,7762621,354751779.7,0.088274297,45.7,,
505,600062,华润双鹤,2025/4/18,股权激励限售股份,5785134.000000001,5785134.000000001,108818370.53999999,0.005631836,18.81,,
503,688507,索辰科技,2025/4/18,首发战略配售股份,669853,669853,61291549.5,0.013792668,91.5,,
504,688539,高华科技,2025/4/18,首发战略配售股份,1859199.9999999998,1859199.9999999998,53228896.00000001,0.018074913,28.63,,
506,603002,宏昌电子,2025/4/18,定向增发机构配售股份,31914893,31914893,201382974.82999998,0.028956584,6.31,,
508,600461,洪城环境,2025/4/18,定向增发机构配售股份,86471621,86471621,788621183.5200001,0.072199597,9.12,,
507,873726,卓兆点胶,2025/4/18,追加承诺限售股份上市流通,58815490,58815490,1523321191,2.528420038,25.9,,
520,001979,招商蛇口,2025/4/21,定向增发机构配售股份,135260743,135260743,1257924910,0.016252405,9.3,,
511,688352,颀中科技,2025/4/21,首发战略配售股份,6000000,6000000,72840000,0.016672172,12.14,,
510,688146,中船特气,2025/4/21,首发战略配售股份,2382353,2382353,71923237.07,0.016707891,30.19,,
513,002513,蓝丰生化,2025/4/21,股权激励限售股份,13540000,13540000,60253000,0.05130573,4.45,,
521,600938,中国海油,2025/4/21,首发战略配售股份,148148147,148148147,3906666636,0.052130848,26.37,,
525,000800,一汽解放,2025/4/21,定向增发机构配售股份,298507462,298507462,2417910442.2000003,0.064576851,8.1,,
512,688326,经纬恒润,2025/4/21,首发原股东限售股份,10450809.999999998,10450809.999999998,1130777642,0.131309117,108.2,,
526,000959,首钢股份,2025/4/21,定向增发机构配售股份,1015417369,1015417369,3107177149.1400003,0.15604368,3.06,,
523,600720,中交设计,2025/4/21,定向增发机构配售股份,232887084,232887084,2005157793,0.300049317,8.61,,
514,688325,赛微微电,2025/4/21,首发原股东限售股份,15538799,15538799,812057635.7,0.405669161,52.26,,
519,688072,拓荆科技,2025/4/21,首发原股东限售股份,124480525,124480525,21386999000,0.801814191,171.81,,
522,301120,新特电气,2025/4/21,首发原股东限售股份,213325724.99999997,213325724.99999997,2026594388,1.354541337,9.5,,
515,301163,宏德股份,2025/4/21,首发原股东限售股份,47572623.99999999,47572623.99999999,1079898565,1.422310677,22.7,,
524,605555,德昌股份,2025/4/21,追加承诺限售股份上市流通,236662385,236662385,7076205311.500001,1.744032051,29.9,,
517,301086,鸿富瀚,2025/4/21,追加承诺限售股份上市流通,57503250,57503250,3036171599.9999995,1.76950772,52.8,,
516,300969,恒帅股份,2025/4/21,追加承诺限售股份上市流通,57157484.00000001,57157484.00000001,5768904860,2.681158004,100.93,,
518,301212,联盛化学,2025/4/21,首发原股东限售股份,81000000,81000000,1782810000,3,22.01,,
509,600845,宝信软件,2025/4/21,股权激励限售股份,167140,167140,6192537,7.8342952e-05,37.05,,
527,301187,欧圣电气,2025/4/22,首发原股东限售股份,4976135,4976135,198199457.04999998,0.103941846,39.83,,
529,688052,纳芯微,2025/4/22,首发原股东限售股份,49187879.99999999,49187879.99999999,8886774280,0.526972237,180.67,,
528,688737,中自科技,2025/4/22,追加承诺限售股份上市流通,49095957,49095957,1018741107.7499999,0.696707334,20.75,,
530,003001,中岩大地,2025/4/23,股权激励限售股份,369736,369736,14782045.28,0.005053019,39.98,,
531,002392,北京利尔,2025/4/23,首发原股东限售股份,8718325,8718325,39319645.75,0.010436825,4.51,,
532,600926,杭州银行,2025/4/23,定向增发机构配售股份,504083000,504083000,7263836030,0.090897422,14.41,,
533,601009,南京银行,2025/4/23,定向增发机构配售股份,1131108262,1131108262,11559926438,0.113833931,10.22,,
534,688239,航宇科技,2025/4/24,股权激励限售股份,102870.00000000001,102870.00000000001,4345228.8,0.00070122,42.24,,
536,603529,爱玛科技,2025/4/24,股权激励限售股份,3570000,3570000,142121700,0.004236048,39.81,,
535,688478,晶升股份,2025/4/24,首发战略配售股份,1383660.0000000002,1383660.0000000002,44138754,0.013561863,31.9,,
537,301626,苏州天脉,2025/4/24,首发机构配售股份,4035695,4035695,417573361.65000004,0.183504867,103.47,,
538,603583,捷昌驱动,2025/4/25,股权激励限售股份,237500,237500,10169750,0.000621326,42.82,,
539,301613,新铝时代,2025/4/25,首发机构配售股份,1236968,1236968,76395143.68,0.054404188,61.76,,
543,002694,顾地科技,2025/4/25,定向增发机构配售股份,165888000,165888000,768061440,0.300027387,4.63,,
540,688255,凯尔达,2025/4/25,追加承诺限售股份上市流通,39756317,39756317,1797780655,0.567116536,45.22,,
544,688046,药康生物,2025/4/25,首发原股东限售股份,206068966,206068966,3443412421.8599997,1.010483603,16.71,,
541,605566,福莱蒽特,2025/4/25,追加承诺限售股份上市流通,71052028,71052028,1359225295.6399999,1.140702221,19.13,,
542,301087,可孚医疗,2025/4/25,追加承诺限售股份上市流通,112795424,112795424,4401277444,1.245335615,39.02,,
545,002783,凯龙股份,2025/4/28,股权激励限售股份,97350,97350,753489,0.000221337,7.74,,
546,300484,蓝海华腾,2025/4/28,股权激励限售股份,162500,162500,3760250,0.000988697,23.14,,
551,002611,东方精工,2025/4/28,股权激励限售股份,1060000,1060000,14214600,0.001057676,13.41,,
547,002860,星帅尔,2025/4/28,股权激励限售股份,350250,350250,3667117.5,0.001185136,10.47,,
548,603617,君禾股份,2025/4/28,股权激励限售股份,480000,480000,3878399.9999999995,0.001262888,8.08,,
554,600760,中航沈飞,2025/4/28,股权激励限售股份,3650577,3650577,167561484.3,0.001330028,45.9,,
550,603589,口子窖,2025/4/28,股权激励限售股份,940264,940264,34150388.480000004,0.001572034,36.32,,
559,300159,新研股份,2025/4/28,股权激励限售股份,5400000,5400000,13014000,0.003668879,2.41,,
555,002057,中钢天源,2025/4/28,股权激励限售股份,4057350,4057350,33026828.999999996,0.005408793,8.14,,
552,300112,万讯自控,2025/4/28,股权激励限售股份,1711500,1711500,16875390,0.007200916,9.86,,
560,600458,时代新材,2025/4/28,股权激励限售股份,6494400.000000001,6494400.000000001,76439088,0.008089705,11.77,,
549,872925,锦好医疗,2025/4/28,股权激励限售股份,540000,540000,8262000,0.009765792,15.3,,
558,002420,毅昌科技,2025/4/28,股权激励限售股份,5345599.999999999,5345599.999999999,31752864,0.013540441,5.94,,
556,603789,星光农机,2025/4/28,股权激励限售股份,5135700.000000001,5135700.000000001,40417959,0.019752692,7.87,,
553,688631,莱斯信息,2025/4/28,首发原股东限售股份,2000000,2000000,230240000,0.032660953,115.12,,
557,688320,禾川科技,2025/4/28,首发原股东限售股份,5295681,5295681,283848501.6,0.050157659,53.6,,
562,688639,华恒生物,2025/4/28,定向增发机构配售股份,21122510.000000004,21122510.000000004,656698835.9,0.092500921,31.09,,
563,002908,德生科技,2025/4/28,定向增发机构配售股份,38024000,38024000,406096320,0.123245059,10.68,,
561,836547,无锡晶海,2025/4/28,公开发行原股东限售股份,7200000,7200000,133272000,0.202224469,18.51,,
570,688280,精进电动,2025/4/28,追加承诺限售股份上市流通,130561621,130561621,652808105,0.284039525,5,,
564,688257,新锐股份,2025/4/28,首发原股东限售股份,48229720,48229720,974722641.2,0.363383995,20.21,,
567,688553,汇宇制药,2025/4/28,追加承诺限售股份上市流通,114066766,114066766,1786285555.5600002,0.368512177,15.66,,
569,301091,深城交,2025/4/28,追加承诺限售股份上市流通,121680000,121680000,6161875200,0.428571429,50.64,,
565,301259,艾布鲁,2025/4/28,首发原股东限售股份,53625000,53625000,2891996250,0.659028385,53.93,,
571,603191,望变电气,2025/4/28,首发原股东限售股份,143911541,143911541,2020518036,0.773194742,14.04,,
566,688211,中科微至,2025/4/28,首发原股东限售股份,66600000,66600000,2100564000,1.024478294,31.54,,
568,301082,久盛电气,2025/4/28,追加承诺限售股份上市流通,114668918,114668918,1653525798,1.07043308,14.42,,
573,688739,成大生物,2025/4/28,追加承诺限售股份上市流通,227663764,227663764,6584036055,1.237494157,28.92,,
574,301090,华润材料,2025/4/28,追加承诺限售股份上市流通,854189859,854189859,5919535723,1.366224625,6.93,,
572,301088,戎美股份,2025/4/28,追加承诺限售股份上市流通,168000000,168000000,2192400000,2.914137034,13.05,,
575,603319,湘油泵,2025/4/29,股权激励限售股份,544752,544752,21098244.96,0.002480613,38.73,,
577,002766,索菱股份,2025/4/29,股权激励限售股份,3310000,3310000,21680500,0.00389067,6.55,,
578,603299,苏盐井神,2025/4/29,股权激励限售股份,3407328.9999999995,3407328.9999999995,36015467.53,0.004401918,10.57,,
580,688028,沃尔德,2025/4/29,定向增发机构配售股份,7576728.000000001,7576728.000000001,185402534.2,0.052912808,24.47,,
576,688726,拉普拉斯,2025/4/29,首发机构配售股份,2580040,2580040,126886367.2,0.07648776,49.18,,
587,000155,川能动力,2025/4/29,定向增发机构配售股份,152642149,152642149,1750805449,0.090132939,11.47,,
581,605266,健之佳,2025/4/29,定向增发机构配售股份,13818299,13818299,297507977.5,0.098193892,21.53,,
586,300229,拓尔思,2025/4/29,定向增发机构配售股份,78328981,78328981,2132114863,0.098564059,27.22,,
579,920088,科力股份,2025/4/29,公开发行战略配售股份,4200000,4200000,99918000,0.210526316,23.79,,
582,688170,德龙激光,2025/4/29,首发原股东限售股份,23745000,23745000,572017050,0.298247818,24.09,,
583,301162,国能日新,2025/4/29,首发原股东限售股份,35434445,35434445,1752233305,0.572869744,49.45,,
584,688290,景业智能,2025/4/29,首发原股东限售股份,41363481,41363481,2483877034,0.680027004,60.05,,
585,001228,永泰运,2025/4/29,首发原股东限售股份,49000000,49000000,1057910000,0.893107613,21.59,,
591,000962,东方钽业,2025/4/30,定向增发机构配售股份,4462214,4462214,67825652.8,0.009002714,15.2,,
588,920066,科拜尔,2025/4/30,公开发行战略配售股份,150000,150000,5569500,0.012467161,37.13,,
590,300701,森霸传感,2025/4/30,定向增发机构配售股份,4241523,4241523,48438192.660000004,0.017320801,11.42,,
592,688131,皓元医药,2025/4/30,定向增发机构配售股份,4540935,4540935,215194909.7,0.022024039,47.39,,
589,001378,德冠新材,2025/4/30,追加承诺限售股份上市流通,2836977,2836977,64399377.9,0.043612271,22.7,,
593,300905,宝丽迪,2025/4/30,定向增发机构配售股份,6829412,6829412,200101771.6,0.053664293,29.3,,
594,600325,华发股份,2025/4/30,定向增发机构配售股份,180911500,180911500,971494755,0.070359615,5.37,,
595,603713,密尔克卫,2025/5/6,股权激励限售股份,25000,25000,1223500,0.000158101,48.94,,
601,300015,爱尔眼科,2025/5/6,股权激励限售股份,6569650,6569650,91580921,0.000828307,13.94,,
597,300642,透景生命,2025/5/6,股权激励限售股份,189692,189692,2991442.8400000003,0.001377505,15.77,,
598,001267,汇绿生态,2025/5/6,股权激励限售股份,1237500,1237500,11644875,0.001596221,9.41,,
603,600039,四川路桥,2025/5/6,股权激励限售股份,12587400,12587400,88111800,0.001877696,7,,
599,000534,万泽股份,2025/5/6,股权激励限售股份,1900200,1900200,29434098,0.003839687,15.49,,
602,000969,安泰科技,2025/5/6,股权激励限售股份,7689000,7689000,95036040,0.00749415,12.36,,
607,603363,*ST傲农,2025/5/6,定向增发机构配售股份,130198914,130198914,425750448.78000003,0.088705685,3.27,,
600,603062,麦加芯彩,2025/5/6,追加承诺限售股份上市流通,4665600,4665600,179438976,0.140442133,38.46,,
605,301093,华兰股份,2025/5/6,追加承诺限售股份上市流通,37827846,37827846,894628557.9,0.42844463,23.65,,
604,688717,艾罗能源,2025/5/6,首发原股东限售股份,29827767,29827767,1427556929,0.441137141,47.86,,
606,301092,争光股份,2025/5/6,追加承诺限售股份上市流通,69480000,69480000,1659182400,1.6090826,23.88,,
608,603206,嘉环科技,2025/5/6,首发原股东限售股份,218000000,218000000,4392700000,2.500000344,20.15,,
596,603893,瑞芯微,2025/5/6,股权激励限售股份,28000,28000,5123440.000000001,6.6874599e-05,182.98,,
611,300602,飞荣达,2025/5/7,股权激励限售股份,474000,474000,11176920,0.001209878,23.58,,
609,002983,芯瑞达,2025/5/7,股权激励限售股份,209334,209334,4100853.06,0.001633782,19.59,,
610,832491,奥迪威,2025/5/7,股权激励限售股份,300000,300000,10758000,0.002628167,35.86,,
612,300719,安达维尔,2025/5/7,股权激励限售股份,495300,495300,9633585,0.002757486,19.45,,
614,600298,安琪酵母,2025/5/7,股权激励限售股份,2765000,2765000,99346450,0.003235826,35.93,,
615,002511,中顺洁柔,2025/5/7,股权激励限售股份,6288450,6288450,40434733.5,0.004969767,6.43,,
613,603205,健尔康,2025/5/7,首发机构配售股份,601114,601114,22253240.28,0.020446829,37.02,,
