序号,代码,名称,最新价,涨跌幅,接待机构数量,接待方式,接待人员,接待地点,接待日期,公告日期
607,300986,志特新材,14.6,7.27,18,券商策略会,董事会秘书 黄萍,线下券商策略会(上海),2025-01-09,2025-01-09
608,002273,水晶光电,23.32,0.0,12,"特定对象调研,线下及线上调研",IR,,2025-01-08,2025-01-09
609,001283,豪鹏科技,65.45,3.3,11,特定对象调研,"董事会秘书 陈萍,投资者关系 李方静",公司惠州潼湖会议室,2025-01-09,2025-01-09
610,002966,苏州银行,7.6,-1.43,11,"特定对象调研,现场会议","董事会秘书 朱敏军,计划财务部总经理助理 沈若弢,风险管理部、董事会办公室相关人员",苏州银行总行4楼会议室,2025-01-08,2025-01-09
611,002277,友阿股份,5.12,1.79,10,"特定对象调研,线下交流","公司董事会秘书 陈学文,公司证券事务代表 高晟",公司会议室,2025-01-09,2025-01-09
612,000030,富奥股份,5.37,-0.74,9,"特定对象调研,现场参观,参观","富奥汽车零部件股份有限公司董事会秘书 李延军,研发中心副主任 李伟,证券事务代表 刘岩,一汽东机工减振器有限公司规划运营部部长 于湧,研发中心设计部长 邓晓旭,长春工厂厂长 王进中,办公室主任 车锦姬",一汽东机工减振器有限公司,2025-01-09,2025-01-09
613,002948,青岛银行,3.88,-1.02,9,特定对象调研,本行相关部门负责人及工作人员,青岛银行股份有限公司总行6楼会议室,2025-01-09,2025-01-09
614,688700,东威科技,27.8,0.0,9,现场调研,"董事长、总经理 刘建波,副总经理、财务总监 周湘荣,新能源事业部总经理 张振,董事会秘书 徐佩佩",昆山公司一楼会议室,2025-01-08,2025-01-09
615,300157,新锦动力,3.12,2.63,8,特定对象调研,董事、副总经理、董事会秘书 王艳秋,北京市海淀区丰秀中路3号院4号楼现场座谈,2025-01-09,2025-01-09
616,300537,广信材料,17.7,1.32,8,路演活动,董事会秘书 张启斌,深圳嘉里建设广场18楼会议室、深创投广场会议室,2025-01-09,2025-01-09
617,002138,顺络电子,32.11,1.13,7,"特定对象调研,现场会议","董事会秘书 任怡,证券事务代表 张易弛",公司会议室,2025-01-08,2025-01-09
618,000951,中国重汽,18.17,0.33,6,特定对象调研,"董事会秘书助理、证券事务代表 张欣,投关专员 胡啸",公司办公室,2025-01-09,2025-01-09
619,002958,青农商行,2.99,-0.33,6,特定对象调研,"本行高管,相关部门人员",本行4楼会议室,2025-01-09,2025-01-09
620,000718,苏宁环球,2.34,1.74,5,特定对象调研,"财务总监 刘得波,医美集团 马国义,证券部 王燕,赵亚洲",南京市鼓楼区集庆门大街270号公司49楼会议室,2025-01-09,2025-01-09
621,300537,广信材料,17.7,1.32,5,"分析师会议,路演活动",董事会秘书 张启斌,上海凯宾斯基大酒店会议室、中建大厦29楼会议室、汇亚大厦26楼会议室,2025-01-08,2025-01-09
622,839493,并行科技,182.09,30.0,5,特定对象调研,董事会秘书 师健伟,公司会议室,2025-01-08,2025-01-09
623,002345,潮宏基,5.39,2.86,4,特定对象调研,董事会秘书 林育昊,公司会议室,2025-01-08,2025-01-09
624,002916,深南电路,129.2,5.19,3,"特定对象调研,实地调研","副总经理、董事会秘书 张丽君,投资者关系经理 郭家旭",公司会议室,2025-01-09,2025-01-09
625,688653,康希通信,15.4,6.35,3,特定对象调研,证券事务代表 陈玲,线下,2025-01-09,2025-01-09
626,002003,伟星股份,13.94,-0.99,3,"特定对象调研,现场参观",黄志强等,临海,2025-01-08,2025-01-09
627,920016,中草香料,22.59,5.86,3,"特定对象调研,现场参观",董事会秘书 赵娅,公司及子公司会议室、厂区,2025-01-08,2025-01-09
628,000521,长虹美菱,8.01,0.63,2,特定对象调研,"副总裁、董事会秘书 李霞,证券事务主管 肖莉,证券事务经理 吕明",公司行政中心一号会议室,2025-01-09,2025-01-09
629,002275,桂林三金,13.86,1.09,2,"路演活动,线下交流","桂林三金董秘 李春,桂林三金证代 朱烨",会议室,2025-01-09,2025-01-09
630,002797,第一创业,8.06,-0.12,2,华创证券2025年年度策略会,"第一创业证券股份有限公司董事会办公室负责人 施维,第一创业证券股份有限公司投资者关系岗 宋伟涛",深圳福田东海朗廷酒店703会议室,2025-01-09,2025-01-09
631,300949,奥雅股份,40.8,3.06,2,路演活动/策略会,董秘、财务副总监 傅佳敏,东方财富证券2025年度策略会(上海浦东香格里拉大酒店),2025-01-09,2025-01-09
632,301025,读客文化,10.43,3.06,2,特定对象调研,"董事会秘书 刘保瑞,证券事务代表 王琨",上海市闵行区申长路1588弄16号,2025-01-09,2025-01-09
633,301028,东亚机械,11.15,-0.62,2,"特定对象调研,现场参观","董事会秘书 韩文浩,证券事务代表 许志涌",厦门东亚机械工业股份有限公司,2025-01-09,2025-01-09
634,301130,西点药业,27.75,1.28,2,“走进上市公司”活动,"董事长、总经理 张俊,副总经理、董事会秘书 张银姬,财务总监 孟思,证券事务代表 郑圣玉",吉林省长春市卫星路1471号西点药业会议室,2025-01-09,2025-01-09
635,301587,中瑞股份,23.8,1.32,2,电话会议,"副总经理、董事会秘书 曹燕,总经理助理 刘海波",公司会议室,2025-01-09,2025-01-09
636,000538,云南白药,57.28,-0.38,2,电话会议,"投资者关系管理 杨可欣,张昱",集团总部办公大楼,2025-01-08,2025-01-09
637,301196,唯科科技,35.58,-0.14,2,"特定对象调研,现场参观","董事会秘书、副总经理 罗建文,证券事务代表 魏贞",公司会议室,2025-01-08,2025-01-09
638,430418,苏轴股份,28.99,0.1,2,线下调研,公司董事、董事会秘书、财务负责人 沈莺,苏州轴承厂股份有限公司第一会议室,2025-01-08,2025-01-09
639,600177,雅戈尔,8.03,0.0,2,"特定对象调研,电话会议","董事会秘书 冯隽,证券事务代表 曹雨超,证券事务助理 林欣",线上,2025-01-08,2025-01-09
640,000715,中兴商业,6.73,7.34,1,"特定对象调研,现场方式","董事会秘书 杨军,证券事务代表 刘丹",公司会议室,2025-01-09,2025-01-09
641,300387,富邦科技,8.89,-0.89,1,特定对象调研,"富邦科技证券事务代表 黄飞虎,富邦科技证券部 陈龙",线上会议室,2025-01-09,2025-01-09
642,300664,鹏鹞环保,5.22,0.38,1,特定对象调研,公司投资关系总监 陈伟锋,鹏鹞环保股份有限公司-宜兴市高塍镇鹏鹞科技创业园,2025-01-09,2025-01-09
643,688305,科德数控,71.9,0.66,1,现场参观,董事会秘书 朱莉华,大连,2025-01-09,2025-01-09
644,000564,供销大集,2.95,10.07,1,特定对象调研,"董事会秘书 杜璟,证券事务代表 张宏芳,许珂",电话会议,2025-01-08,2025-01-09
645,001267,汇绿生态,9.24,-0.96,1,特定对象调研,公司董事会秘书 严琦,公司会议室,2025-01-08,2025-01-09
646,002275,桂林三金,13.86,1.09,1,"路演活动,线下交流","桂林三金董秘 李春,桂林三金证代 朱烨",会议室,2025-01-08,2025-01-09
647,002838,道恩股份,12.13,-0.82,1,"特定对象调研,现场交流","道恩股份董事、总经理 田洪池,道恩股份副总经理、董事会秘书 王有庆",道恩股份会议室,2025-01-08,2025-01-09
648,600829,人民同泰,7.77,4.02,1,特定对象调研,"董事长、总经理 朱卫东,董事会秘书 王磊",哈药股份办公楼,2025-01-08,2025-01-09
649,000768,中航西飞,25.82,-0.12,81,"特定对象调研,现场参观","公司董事、总经理 韩小军,董事、总会计师 董克功,董事会秘书 雷阎正,规划经营部部长 徐小伟,证券与资本管理部部长 周文东,财务管理部部长 张慧峰,科技与信息化部部长 尹佳,证券事务代表、证券与资本管理部副部长 龚亮,人力资源部副部长 邱福涛,党建和思想政治工作部副部长 韩娜娜",西安市阎良区西飞大道一号西安空地勤保障中心报告厅,2025-01-08,2025-01-08
650,002862,实丰文化,36.14,1.23,16,"特定对象调研,线上调研","副总经理 蔡佳霖,董事、董事会秘书 王依娜,品牌管理部负责人 陈永东,研发设计部负责人 纪一桀",广东省汕头市澄海区澄华工业区实丰文化发展股份有限公司,2025-01-08,2025-01-08
651,000078,海王生物,2.54,3.25,11,特定对象调研,"副总裁、董事局秘书 王云雷,证券事务代表 林健怡,投资者关系管理 戴伊元",深圳市南山区科技园科技中三路1号海王银河科技大厦24楼,2025-01-08,2025-01-08
652,001201,东瑞股份,14.67,0.76,10,公司近期经营情况交流会,"董事、副总裁、董事会秘书、财务总监 曾东强,证券投资部总经理、证券事务代表 谢志铭",公司会议室,2025-01-08,2025-01-08
653,688157,松井股份,38.38,4.15,10,路演活动,"副总经理、董事会秘书 熊开阔,证券事务代表 司新宇",线下会议,2025-01-08,2025-01-08
654,001314,亿道信息,51.96,1.72,9,"线上交流,路演活动","副总经理、董事会秘书 乔敏洋,投资者关系专员 谢蝶",福田香格里拉酒店、线上会议,2025-01-08,2025-01-08
655,002153,石基信息,7.96,6.85,8,特定对象调研,"董秘、副总裁 罗芳,证券部 何龙光",北京市海淀区复兴路甲65号石基信息大厦,2025-01-08,2025-01-08
656,301366,一博科技,48.8,1.86,7,"特定对象调研,券商组织的策略会,现场调研","公司副总经理 王灿钟,公司副总经理、董事会秘书 余应梓,公司证券事务代表 徐焕青",公司深圳总部会议室及福田香格里拉酒店,2025-01-08,2025-01-08
657,688621,阳光诺和,39.24,5.12,7,"特定对象调研,线下会议","董事会秘书 魏丽萍,投资者关系总监 郭心驰",,2025-01-08,2025-01-08
658,000800,一汽解放,8.31,2.72,6,"特定对象调研,现场参观","董事会秘书 王建勋,证券代表 杨育欣,投资者关系管理主任师 王丽",公司会议室,2025-01-08,2025-01-08
659,002916,深南电路,129.2,5.19,4,"特定对象调研,网络,电话会议,实地调研","副总经理、董事会秘书 张丽君,投资者关系经理 郭家旭",公司会议室,2025-01-08,2025-01-08
660,003025,思进智能,15.07,0.33,4,"特定对象调研,现场参观","董事会秘书、副总经理 周慧君,董事、思进犇牛常务副总经理 周敏,证券事务代表 陆爽霁",公司五楼会议室,2025-01-08,2025-01-08
661,300969,恒帅股份,103.49,0.11,3,"特定对象调研,现场参观","董事会秘书 廖维明,证代 蒋瑜",公司会议室,2025-01-08,2025-01-08
662,301371,敷尔佳,35.09,-0.26,3,"特定对象调研,现场参观","董事、董事会秘书、财务负责人 邓百娇,证券事务代表 吴弘,IR(投资者关系管理) 齐鑫鑫",公司三楼桃花岛会议室,2025-01-08,2025-01-08
663,001283,豪鹏科技,65.45,3.3,2,特定对象调研,"董事会秘书 陈萍,投资者关系 李方静",公司深圳会议室,2025-01-08,2025-01-08
664,002063,远光软件,6.58,4.44,2,特定对象调研,"董事会秘书 袁绣华,证券事务代表 刘多纳",线上会议,2025-01-08,2025-01-08
665,002353,杰瑞股份,37.65,-1.95,2,"特定对象调研,现场参观,现场调研参观","董事会秘书 曲宁,投资者关系总监 毛彩霞,证券事务代表 宋翔",公司总部大楼会议室,2025-01-08,2025-01-08
666,002867,周大生,12.36,0.73,2,电话会议,证券事务代表 荣欢,总部会议室,2025-01-08,2025-01-08
667,000950,重药控股,5.3,1.92,1,"特定对象调研,现场会议","董事会秘书、财务总监 邱天,证券事务代表 赵婧,公司IR团队工作人员",公司会议室,2025-01-08,2025-01-08
668,002142,宁波银行,25.28,0.16,1,"特定对象调研,电话会议",公司投关团队,电话会议,2025-01-08,2025-01-08
669,301201,诚达药业,19.94,3.32,1,"特定对象调研,现场参观","董事长 葛建利,副总经理、董事会秘书 杨晓静,证券事务代表 吴忠杰",公司研发楼、展厅、会议室,2025-01-08,2025-01-08
670,301577,美信科技,59.81,1.29,1,特定对象调研,董事会秘书 王丽娟,美信科技会议室,2025-01-08,2025-01-08
