,排名较昨日变动,当前排名,代码,股票名称,最新价,涨跌额,涨跌幅
84,2212,1615,SZ300111,向日葵,3.47,0.156844,4.52
85,2205,1896,SZ300700,岱勒新材,8.54,0.35441,4.15
86,2193,2983,SZ833455,汇隆活塞,7.8,0.5803200000000001,7.44
87,2188,765,SZ002098,浔兴股份,8.98,0.5073700000000001,5.65
88,2186,109,SZ301551,无线传媒,61.99,12.081850999999999,19.49
89,2171,1976,SZ000514,渝 开 发,4.13,0.155701,3.77
90,2165,2898,SZ002694,顾地科技,4.59,0.165699,3.61
91,2163,1570,SZ833171,国航远洋,6.4,0.31488,4.92
92,2151,1464,SH603122,合富中国,7.41,0.28009799999999996,3.78
93,2143,2504,SZ833819,颖泰生物,3.42,0.223668,6.54
94,2128,1101,SZ837592,华信永道,65.94,5.3872979999999995,8.17
95,2121,996,SH603396,金辰股份,27.17,1.3204620000000002,4.86
96,2099,2662,SZ300908,仲景食品,30.76,0.9904720000000001,3.22
97,2084,934,SZ300267,尔康制药,2.72,0.12566400000000003,4.62
98,2083,473,SH600609,金杯汽车,7.49,0.6523790000000002,8.71
99,2066,1385,SH601155,新城控股,11.66,0.522368,4.48
