序号,股东名称,解禁数量,实际解禁数量,解禁市值,锁定期,剩余未解禁数量,限售股类型,进度
1,上海国际集团有限公司,842003367,842003367,8478973905.69,36,0,定向增发机构配售股份,实施
2,上海国鑫投资发展有限公司,406313131,406313131,4091573229.17,36,0,定向增发机构配售股份,实施
