时间,代码,名称,板块,相关信息
14:26:46,300556,丝路视觉,大笔买入,"127000,21.46000,0.067594"
14:26:19,301128,强瑞技术,大笔买入,"30100,61.01000,0.028744"
14:25:34,301076,新瀚新材,大笔买入,"130100,33.92000,-0.011943"
14:25:31,301607,富特科技,大笔买入,"34900,37.26000,0.013326"
14:25:18,430090,同辉信息,大笔买入,"181839,6.75000,0.041667"
14:24:30,001266,宏英智能,大笔买入,"47200,25.28000,0.050270"
14:24:25,300884,狄耐克,大笔买入,"225600,11.59000,-0.002582"
14:24:19,301538,骏鼎达,大笔买入,"14600,72.48000,-0.006851"
14:24:19,301387,光大同创,大笔买入,"87600,36.22000,0.007230"
14:24:13,301312,智立方,大笔买入,"28100,46.10000,-0.006680"
14:24:06,002778,中晟高科,大笔买入,"582800,18.51000,0.093225"
14:24:06,833075,柏星龙,大笔买入,"43879,31.93000,-0.014202"
14:23:31,301380,挖金客,大笔买入,"62300,51.00000,0.007695"
14:23:28,688171,纬德信息,大笔买入,"60000,17.90000,0.006749"
14:23:25,603037,凯众股份,大笔买入,"622280,16.87000,0.099023"
14:23:13,300921,南凌科技,大笔买入,"116500,29.03000,0.012178"
14:23:13,603380,易德龙,大笔买入,"233000,27.63000,0.095125"
14:23:10,300846,首都在线,大笔买入,"542200,17.94000,0.160078"
14:23:07,300846,首都在线,大笔买入,"1196100,17.90000,0.154245"
14:23:03,002347,泰尔股份,大笔买入,"499500,7.46000,-0.015852"
14:22:43,300846,首都在线,大笔买入,"706700,17.77000,0.152301"
14:22:37,301030,仕净科技,大笔买入,"258080,21.81000,0.168000"
14:22:19,300846,首都在线,大笔买入,"499000,18.14000,0.164614"
14:22:06,002123,梦网科技,大笔买入,"916000,14.00000,0.075969"
14:22:03,002123,梦网科技,大笔买入,"721600,13.88000,0.064341"
14:22:00,002123,梦网科技,大笔买入,"1302029,13.73000,0.055039"
14:21:49,300846,首都在线,大笔买入,"793300,18.09000,0.174336"
14:21:37,300846,首都在线,大笔买入,"5085704,18.12000,0.187297"
14:21:34,301030,仕净科技,大笔买入,"1090960,22.50000,0.193600"
14:21:06,002123,梦网科技,大笔买入,"913100,14.10000,0.096124"
14:20:57,872953,国子软件,大笔买入,"38806,35.71000,0.005884"
14:20:55,301368,丰立智能,大笔买入,"94600,64.06000,-0.041592"
14:20:49,301368,丰立智能,大笔买入,"117700,64.05000,-0.039497"
14:19:49,301458,钧崴电子,大笔买入,"101800,35.64000,0.000000"
14:19:21,002031,巨轮智能,大笔买入,"2114700,7.35000,0.035112"
14:19:19,603398,沐邦高科,大笔买入,"670100,15.96000,0.027688"
14:19:19,603398,沐邦高科,大笔买入,"540100,15.96000,0.027688"
14:19:09,002917,金奥博,大笔买入,"339500,14.98000,-0.012525"
14:18:48,002337,赛象科技,大笔买入,"971700,5.53000,0.043643"
14:18:38,688171,纬德信息,大笔买入,"88229,17.80000,0.001125"
14:17:42,002718,友邦吊顶,大笔买入,"148500,15.84000,-0.099432"
14:17:38,603193,润本股份,大笔买入,"126594,28.71000,0.100000"
14:17:31,603887,城地香江,大笔买入,"1380773,16.15000,0.091216"
14:15:49,603496,恒为科技,大笔买入,"3485091,27.90000,0.089844"
14:15:48,002213,大为股份,大笔买入,"428900,18.06000,0.085956"
14:15:30,001313,粤海饲料,大笔买入,"229900,8.50000,-0.010477"
14:15:21,002196,方正电机,大笔买入,"1035000,6.27000,0.027961"
14:15:06,002213,大为股份,大笔买入,"216500,18.17000,0.085351"
14:15:03,002213,大为股份,大笔买入,"210000,17.93000,0.084140"
14:14:48,003010,若羽臣,大笔买入,"576220,31.27000,0.099824"
14:14:16,605299,舒华体育,大笔买入,"1935200,10.22000,0.086079"
14:14:09,002213,大为股份,大笔买入,"239300,17.89000,0.084140"
14:14:07,301220,亚香股份,大笔买入,"67800,47.71000,0.087540"
14:13:43,301220,亚香股份,大笔买入,"76900,47.47000,0.071169"
14:13:42,002858,力盛体育,大笔买入,"186400,13.06000,0.069388"
14:13:39,001277,速达股份,大笔买入,"27300,37.30000,0.008381"
14:13:34,301220,亚香股份,大笔买入,"74600,47.07000,0.068668"
14:13:30,000158,常山北明,大笔买入,"1857100,22.42000,0.099607"
14:13:28,603211,晋拓股份,大笔买入,"81100,18.40000,-0.011284"
14:12:49,301220,亚香股份,大笔买入,"62400,46.75000,0.060937"
14:12:21,002858,力盛体育,大笔买入,"1419400,13.35000,0.090612"
14:12:17,603286,日盈电子,大笔买入,"117800,22.48000,-0.029361"
14:11:12,603106,恒银科技,大笔买入,"3151300,9.76000,0.099099"
14:10:36,002175,东方智造,大笔买入,"14992400,5.27000,0.097917"
14:09:45,600580,卧龙电驱,大笔买入,"2676701,26.54000,0.099876"
14:09:27,836961,西磁科技,大笔买入,"50000,33.04000,0.005162"
14:09:21,000158,常山北明,大笔买入,"8297240,22.22000,0.096663"
14:09:16,300731,科创新源,大笔买入,"156000,24.30000,0.022746"
14:08:29,603612,索通发展,大笔买入,"1087000,15.99000,0.099725"
14:06:39,001313,粤海饲料,大笔买入,"291800,8.59000,0.001164"
14:03:46,300354,东华测试,大笔买入,"267200,41.72000,-0.015614"
14:03:12,839946,华阳变速,大笔买入,"108667,10.60000,0.294762"
14:03:01,301533,威马农机,大笔买入,"34900,31.25000,0.016949"
14:02:40,688708,佳驰科技,大笔买入,"80000,59.54000,-0.009483"
14:02:40,600545,卓郎智能,大笔买入,"1855200,2.72000,0.014925"
14:02:32,688708,佳驰科技,大笔买入,"73648,59.54000,-0.010647"
14:02:10,301209,联合化学,大笔买入,"37700,31.47000,0.003828"
14:01:44,834770,艾能聚,大笔买入,"205587,20.72000,0.196532"
14:00:40,300556,丝路视觉,大笔买入,"110100,21.43000,0.063618"
14:00:10,301383,天键股份,大笔买入,"78600,61.26000,-0.016472"
14:00:00,002211,宏达新材,大笔买入,"450400,3.60000,0.028490"
13:59:46,301161,唯万密封,大笔买入,"71700,20.60000,0.009804"
13:59:30,002164,宁波东力,大笔买入,"1631600,6.15000,0.018212"
13:59:24,001266,宏英智能,大笔买入,"42900,26.00000,0.082676"
13:58:47,839946,华阳变速,大笔买入,"171300,10.67000,0.299635"
13:58:09,002205,国统股份,大笔买入,"322300,8.88000,0.058403"
13:57:37,301208,中亦科技,大笔买入,"51200,42.06000,0.171714"
13:56:00,000977,浪潮信息,大笔买入,"4324651,61.58000,0.097726"
13:55:45,002212,天融信,大笔买入,"4096073,8.34000,0.098168"
13:55:35,603882,金域医学,大笔买入,"619800,30.08000,0.099817"
13:55:21,002205,国统股份,大笔买入,"197900,8.78000,0.047676"
13:55:06,002824,和胜股份,大笔买入,"208400,17.08000,0.091491"
13:54:57,836260,中寰股份,大笔买入,"101944,10.87000,0.038204"
13:54:54,831445,龙竹科技,大笔买入,"198305,8.20000,0.035354"
13:54:42,002630,华西能源,大笔买入,"1959560,4.02000,0.049738"
13:54:34,301208,中亦科技,大笔买入,"59700,42.80000,0.183662"
13:53:54,832171,志晟信息,大笔买入,"590852,23.50000,0.296909"
13:53:31,300421,力星股份,大笔买入,"232600,13.11000,-0.017254"
13:53:28,301208,中亦科技,大笔买入,"55427,42.28000,0.174771"
13:53:17,600272,开开实业,大笔买入,"188400,14.19000,0.019397"
13:52:45,001266,宏英智能,大笔买入,"46800,26.02000,0.081014"
13:52:24,688667,菱电电控,大笔买入,"100000,44.14000,0.010531"
13:52:02,603716,塞力医疗,大笔买入,"405100,8.37000,0.073077"
13:52:01,301208,中亦科技,大笔买入,"173260,42.28000,0.178105"
13:52:00,600602,云赛智联,大笔买入,"6665204,17.06000,0.097812"
13:51:55,688583,思看科技,大笔买入,"14000,106.80000,0.005555"
13:51:25,301631,壹连科技,大笔买入,"16200,125.30000,0.005625"
13:51:07,300556,丝路视觉,大笔买入,"104600,21.38000,0.063121"
13:51:03,002448,中原内配,大笔买入,"825950,7.82000,0.095967"
13:50:58,301208,中亦科技,大笔买入,"587460,43.19000,0.199500"
13:50:33,002945,华林证券,大笔买入,"4628900,16.44000,0.096860"
13:50:23,600410,华胜天成,大笔买入,"10667180,9.91000,0.098670"
13:50:06,603901,永创智能,大笔买入,"2583800,10.00000,0.098901"
13:50:06,872953,国子软件,大笔买入,"32307,37.72000,0.056879"
13:50:01,300853,申昊科技,大笔买入,"155700,21.04000,-0.007065"
13:50:00,000034,神州数码,大笔买入,"4610970,39.81000,0.099586"
13:49:15,002313,日海智能,大笔买入,"587800,9.63000,-0.003102"
13:49:15,002122,汇洲智能,大笔买入,"13142551,5.29000,0.099792"
13:48:54,002122,汇洲智能,大笔买入,"2130100,5.27000,0.095634"
13:48:52,300556,丝路视觉,大笔买入,"348914,21.20000,0.052684"
13:48:43,300556,丝路视觉,大笔买入,"157300,20.68000,0.025348"
13:48:06,002131,利欧股份,大笔买入,"6976162,4.16000,0.019512"
13:47:57,001356,富岭股份,大笔买入,"218100,15.01000,-0.021470"
13:47:22,301150,中一科技,大笔买入,"131300,21.17000,0.015340"
