序号,解禁时间,当日解禁股票家数,解禁数量,实际解禁数量,实际解禁市值,沪深300指数,沪深300指数涨跌幅
1,2022-11-01,12,594613698.0,594613698.0,14848450680.19,3634.1732,3.576
2,2022-11-02,11,3537316091.0,3532091572.0,20380754900.9,3677.8051,1.2006
3,2022-11-03,13,165613004.0,162493295.0,5972973762.6,3647.8966,-0.8132
4,2022-11-04,15,252311544.0,251108244.0,6291125006.190001,3767.1746,3.2698
5,2022-11-07,21,1118739279.0,1031831872.0,41908830959.64,3775.2971,0.2156
6,2022-11-08,15,706435267.0,597122462.0,11724074206.08,3749.3251,-0.6879
7,2022-11-09,10,133298713.0,133298713.0,2572545696.23,3714.2704,-0.935
8,2022-11-10,16,582128564.0,580812171.0,9341577655.7,3685.6885,-0.7695
9,2022-11-11,17,274936415.0,273819986.0,4912280389.88,3788.4387,2.7878
10,2022-11-14,15,653920453.0,601001113.0,23180190146.41,3794.0171,0.1472
11,2022-11-15,14,460485362.0,460476962.0,17142068235.2,3865.9726,1.8966
12,2022-11-16,12,427357367.0,427162292.0,12098742101.710001,3834.3899,-0.8169
13,2022-11-17,11,151535113.0,148522824.0,4802955825.65,3818.664,-0.4101
14,2022-11-18,21,705111789.0,684289371.0,82548165184.78,3801.5686,-0.4477
15,2022-11-21,20,779464502.0000001,778683402.0000001,12831294943.599998,3769.1269,-0.8534
16,2022-11-22,10,483663298.0,483198298.0,9271022699.77,3769.5727,0.0118
17,2022-11-23,7,114481179.0,37983116.0,373761812.62,3773.5287,0.1049
18,2022-11-24,7,85714324.0,63805915.00000001,4706747981.77,3756.8082,-0.4431
19,2022-11-25,11,263071657.0,262771657.0,2465309877.41,3775.7764,0.5049
20,2022-11-28,17,11564238225.0,11484597842.000002,43289942518.29,3733.2424,-1.1265
21,2022-11-29,13,1516112230.0,1445813697.0,70170212860.07,3848.4224,3.0853
22,2022-11-30,11,1315651590.0000002,1315651590.0000002,10608706838.55,3853.0365,0.1199
23,2022-12-01,15,145110470.0,144673070.0,3325097788.62,3894.7687,1.0831
24,2022-12-02,15,379453724.0,379231649.00000006,4087763705.96,3870.9478,-0.6116
25,2022-12-05,19,925500525.0,754588922.0,17173714863.03,3946.8759,1.9615
26,2022-12-06,15,304916190.0,301624590.0,15465656720.15,3968.1979,0.5402
27,2022-12-07,14,247632244.0,231169664.0,2635268390.86,3958.4409,-0.2459
28,2022-12-08,15,238740973.0,238740973.0,5986389164.55,3959.1798,0.0187
29,2022-12-09,12,286411514.0,286411514.0,22801145901.77,3998.2442,0.9867
