序号,解禁时间,解禁股东数,解禁数量,实际解禁数量,未解禁数量,实际解禁数量市值,占总市值比例,占流通市值比例,解禁前一交易日收盘价,限售股类型,解禁前20日涨跌幅,解禁后20日涨跌幅
1,2020-09-04,2,1248316498.0,1248316498.0,0,12570547134.859999,0.042528989385,0.042528989385,10.07,定向增发机构配售股份,-3.89363723,-6.91699605
2,2017-03-20,11,1099461365.0,1099461365.0,0,17745306431.100002,0.050857948411,0.050857948411,16.14,定向增发机构配售股份,-2.64423077,-5.55555556
3,2015-10-14,1,3730694283.0000005,3730694283.0000005,0,59318039099.700005,0.2,0.2,15.9,定向增发机构配售股份,6.04249668,12.08515967
4,2010-09-29,38,1175406872.0,1175406900.0,0,14680832181.0,0.102395750906,0.102395750906,12.49,定向增发机构配售股份,-10.33499644,15.26232114
