序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
43,836871,派特尔,30.000001907348633,16.51,195151409,663217712.1700001,1275556260.16,30.45024871826172,4109339,095737,142552,17,1/1,1,塑料制品
44,002849,威星智能,10.032573699951172,16.89,131803299,3207629641.05,3726508530.2400002,4.219772815704346,34876161,095903,095903,0,1/1,1,仪器仪表
45,600588,用友网络,10.0401611328125,13.7,2161053376,46812864503.299995,46812864489.6,4.735873699188232,73761060,100359,142929,2,5/3,1,软件开发
46,002261,拓维信息,9.985315322875977,22.47,5583992832,25340852541.059998,28223522234.879997,22.441316604614258,246545334,100518,100518,0,3/3,3,软件开发
47,301030,仕净科技,20.0,22.5,663407712,3843971685.0,4536158175.0,18.004262924194336,11728350,100530,145336,2,1/1,1,专用设备
48,000761,本钢板材,10.0,3.3,102959062,12237152918.099998,13557152928.0,0.8775758147239685,58577574,101230,101230,0,1/1,1,钢铁行业
49,002629,仁智股份,10.11494255065918,4.79,141343130,1705002574.07,2041009420.0,8.510700225830078,40438138,101306,101306,0,1/1,1,采掘行业
50,603803,瑞斯康达,9.980806350708008,11.46,378134064,4869165563.22,4919010821.76,8.129182815551758,103172088,101425,101425,0,1/1,1,通信设备
51,002613,北玻股份,10.1010103225708,4.36,176547409,2654899501.44,4798479479.68,6.835244178771973,31878968,101806,101806,0,1/1,1,玻璃玻纤
52,000158,常山北明,10.00981330871582,22.42,6169645824,35598897720.200005,35840986862.4,17.874902725219727,180808332,101903,143112,4,1/1,1,综合行业
53,600756,浪潮软件,10.025873184204102,17.01,592786768,5512919788.530001,5512919771.52,10.976096153259277,87331891,102126,102217,1,1/1,1,互联网服
54,000818,航锦科技,9.990157127380371,22.35,2813034576,15139161390.000002,15179136600.000002,18.993371963500977,19483836,102306,143103,9,4/4,4,化学原料
55,002369,卓翼科技,10.058309555053711,7.55,936689376,4270662067.75,4280519974.4,22.659414291381836,35184781,102318,102318,0,1/1,1,消费电子
56,600186,莲花控股,9.966216087341309,6.51,3302496576,11631484970.91,11682664657.44,29.057048797607422,12239978,102822,145431,7,2/2,2,食品饮料
57,605255,天普股份,10.007468223571777,14.73,58106284,1974998400.0,1974998400.0,3.006115674972534,27184215,102953,102953,0,1/1,1,汽车零部
58,603193,润本股份,10.0,28.71,95248781,2966785574.94,11615873987.52,3.321011543273926,38293024,104408,141832,1,1/1,1,美容护理
59,000536,华映科技,10.112359046936035,4.9,764149504,13539104328.400002,13553560720.000002,5.835344314575195,55185172,104654,104654,0,1/1,1,光学光电
60,002634,棒杰股份,10.059171676635742,3.72,50702073,1661034081.3600001,1708791344.64,3.1714608669281006,35857824,104809,104809,0,1/1,1,纺织服装
61,603612,索通发展,9.972489356994629,15.99,922288544,7964690299.41,7964690379.36,11.7999267578125,5113602,105241,145629,14,1/1,1,非金属材
62,000034,神州数码,10.013792991638184,39.88,4356471552,22041433888.52,26703112012.800003,20.30172348022461,29087873,105251,144103,4,1/1,1,计算机设
63,002044,美年健康,10.022271156311035,4.94,753946016,19129896676.800003,19336414364.800003,4.034618377685547,45036251,105445,142442,3,1/1,1,医疗服务
64,603882,金域医学,10.018281936645508,30.09,747429792,13845449421.93,13939441404.48,5.532968044281006,13259429,105553,143441,2,1/1,1,医疗服务
65,605299,舒华体育,9.989372253417969,10.35,396509136,4253119797.1499996,4260364869.6,9.683259963989258,20055195,110809,142624,4,3/2,1,家用轻工
66,839493,并行科技,29.995361328125,140.07,1285458224,4543250009.76,8156276100.0,31.18709373474121,46040588,111122,143158,1,3/2,1,软件开发
67,002016,世荣兆业,9.929078102111816,6.2,56728923,5016392918.400001,5016392918.400001,1.1753759384155273,47854693,111148,111148,0,1/1,1,房地产开
68,301208,中亦科技,20.005556106567383,43.19,899834224,1902478901.3999999,5182802591.4,49.45158004760742,36626847,111542,140045,2,1/1,1,软件开发
69,600785,新华百货,9.98116683959961,11.68,202748417,2635373350.4,2635373350.4,7.870188236236572,24419305,112115,112154,1,1/1,1,商业百货
70,832171,志晟信息,29.966888427734375,23.55,406013568,1552581038.4,2360492684.25,28.3389949798584,2736086,112352,145440,1,1/1,1,软件开发
71,839946,华阳变速,29.96346092224121,10.67,463155472,1062065125.0,1440348026.81,47.353450775146484,11159464,112813,143958,2,2/2,2,汽车零部
72,603618,杭电股份,10.051993370056152,6.35,94541783,4390235161.599999,4390235161.599999,2.253998279571533,50383471,112945,112945,0,1/1,1,电网设备
73,002858,力盛体育,10.040816307067871,13.48,470098320,1977881820.24,2209639416.2400002,24.34739875793457,36115616,130103,144230,1,1/1,1,文化传媒
74,603496,恒为科技,10.0,28.16,1787594704,9017092282.88,9017092423.68,20.545387268066406,42530808,130604,144140,2,3/2,1,互联网服
75,600839,四川长虹,10.041841506958008,10.52,8250920192,48549364798.119995,48562889236.479996,17.616228103637695,101663954,131359,145350,1,1/1,1,家电行业
76,002542,中化岩土,10.029498100280762,3.73,368130016,5972661190.7699995,6736815425.28,6.402935981750488,79935720,131912,131912,0,1/1,1,工程建设
77,002175,东方智造,10.0,5.28,1624322016,6741362638.56,6741402201.6,24.90719985961914,84809472,132327,144803,1,1/1,1,仪器仪表
78,002122,汇洲智能,9.979209899902344,5.29,3070283104,10515120996.02,10582516685.76,30.743125915527344,1545209,134857,150000,4,18/9,3,通用设备
79,603716,塞力医疗,10.0,8.58,236272889,1638679219.32,1638679219.32,15.156734466552734,37992257,135308,135308,0,4/2,1,医药商业
80,002824,和胜股份,9.980806350708008,17.19,290584848,3251574501.57,4797971035.200001,9.222091674804688,39673780,135518,135518,0,1/1,1,有色金属
81,003005,竞业达,10.008136749267578,40.56,893497920,2994183085.92,6703660956.72,32.89469528198242,98467512,143324,143324,0,4/3,1,互联网服
82,002010,传化智联,10.0,4.84,356511632,13454157493.039999,13493777278.08,2.773005485534668,54113039,144733,144733,0,1/1,1,物流行业
83,688227,品高股份,19.987831115722656,39.44,335855568,2527977042.64,4458900046.0,14.39554500579834,10469466,145505,145505,0,1/1,1,软件开发
