序号,代码,名称,最新价,涨跌幅,接待机构数量,接待方式,接待人员,接待地点,接待日期,公告日期
1,300952,恒辉安防,24.71,-0.92,29,"特定对象调研,电话会议","董事、副总经理、董事会秘书 张武芬,证券事务代表 林旭金",线上会议形式,2025-02-10,2025-02-10
2,301379,天山电子,23.3,5.24,9,"特定对象调研,现场参观","董事、副总经理 王嗣缜,副总经理、董事会秘书 叶小翠,总经理办公室负责人 罗欣,证券事务代表 林泽超",公司会议室,2025-02-10,2025-02-10
3,301387,光大同创,37.62,1.46,8,特定对象调研,董事会秘书 占梦昀,公司会议室,2025-02-10,2025-02-10
4,301608,博实结,76.4,1.37,1,特定对象调研,"董事、财务总监 雷金华,副总经理、董事会秘书 向碧琼,证券事务代表 王占超",公司会议室、线上会议,2025-02-10,2025-02-10
5,002275,桂林三金,13.86,1.09,1,"特定对象调研,线下交流","桂林三金董秘 李春,桂林三金证代 朱烨",会议室,2025-02-09,2025-02-10
6,002728,特一药业,8.5,2.16,1,"媒体采访,邮件","董事、董事会秘书、财务总监、副总经理 陈习良,证券事务代表 徐少华",台山,2025-02-08,2025-02-10
7,300806,斯迪克,18.17,7.07,3,电话,"董事、财务总监、董事会秘书 吴江,证券事务代表 金丹丹",线上,2025-02-08,2025-02-08
