序号,代码,名称,最近上榜日,收盘价,涨跌幅,上榜次数,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜总成交额,买方机构次数,卖方机构次数,机构买入净额,机构买入总额,机构卖出总额,近1个月涨跌幅,近3个月涨跌幅,近6个月涨跌幅,近1年涨跌幅
100,000816,智慧农业,2025-02-26,4.31,-6.1002,3,136047911.12,433844463.88,297796552.76,731641016.64,6,6,51575054.71,164139065.7,112564010.99,59.62962963,63.25757576,147.70114943,73.09236948
101,002910,庄园牧场,2025-02-26,11.95,10.0368,3,13765090.14,170558751.0,156793660.86,327352411.86,4,3,3002359.0,25979110.0,22976751.0,65.05524862,41.75563464,107.46527778,55.19480519
102,003021,兆威机电,2025-02-26,157.94,10.0014,3,607234080.33,1483657665.09,876423584.76,2360081249.85,9,9,247054843.0,477641122.62,230586279.62,56.57777337,111.06508085,303.11383359,252.85839639
103,300918,南山智尚,2025-02-26,21.0,3.7037,3,20462470.67,527729985.65,507267514.98,1034997500.63,8,8,25548749.11,330950520.76,305401771.65,101.53550864,85.18518519,176.6798419,119.83256235
104,301013,利和兴,2025-02-26,18.76,11.6667,3,254866631.9,701505072.86,446638440.96,1148143513.82,9,8,35942921.42,307780099.24,271837177.82,59.93179881,39.8956003,79.3499044,78.66666667
105,600203,福日电子,2025-02-26,13.0,6.82,3,60733491.45,571636708.93,510903217.48,1082539926.41,0,1,-9060767.0,0.0,9060767.0,52.40328253,15.04424779,124.91349481,152.42718447
106,603667,五洲新春,2025-02-26,53.2,10.0083,3,-437788030.59,1455671128.93,1893459159.52,3349130288.45,3,0,259700697.5,259700697.5,0.0,10.16773659,190.3930131,310.81081081,222.76935161
107,603800,洪田股份,2025-02-26,28.25,-9.5131,3,-90963977.18,276295138.8,367259115.98,643554254.78,4,3,-63865131.28,91756424.0,155621555.28,14.32618373,26.00356824,67.35781991,28.06259039
108,835207,众诚科技,2025-02-26,37.0,21.3115,3,9743724.8,158519485.55,148775760.75,307295246.3,0,0,0.0,0.0,0.0,107.86516854,51.70151702,371.93877551,257.40778703
109,873706,铁拓机械,2025-02-26,18.4,-3.9666,3,-45277060.51,78492988.98,123770049.49,202263038.47,0,0,0.0,0.0,0.0,39.92395437,6.54313839,120.35928144,181.73253419
110,920082,方正阀门,2025-02-26,16.45,9.1573,3,-2722913.34,54426634.8,57149548.14,111576182.94,1,1,2011534.78,2373630.2,362095.42,25.57251908,368.66096866,368.66096866,368.66096866
111,002290,禾盛新材,2025-02-25,23.87,-9.9925,3,1474450.39,363886242.61,362411792.22,726298034.83,8,9,63397794.4,206334575.93,142936781.53,51.45939086,43.36336336,104.54155955,124.55315146
112,002527,新时达,2025-02-25,18.31,1.7222,3,126788906.37,494002988.08,367214081.71,861217069.79,0,2,-10583042.0,0.0,10583042.0,85.88832487,112.65969803,216.23488774,114.90610329
113,300153,科泰电源,2025-02-25,35.55,7.7599,3,291265336.200002,10298262778.93,10006997442.73,20305260221.66,7,8,-7125912.38999999,421036933.98,428162846.37,104.42783209,348.86363636,560.78066914,510.82474227
114,301139,元道通信,2025-02-25,36.28,14.0163,3,100613279.31,437140985.62,336527706.31,773668691.93,12,12,21238534.63,286384054.44,265145519.81,60.31816173,55.04273504,85.76548899,48.67964819
115,301202,朗威股份,2025-02-25,54.52,-6.1618,3,100945490.07,378536097.5,277590607.43,656126704.93,15,12,113258389.07,319367444.5,206109055.43,35.92620294,59.92959812,126.91920169,119.79666153
116,301382,蜂助手,2025-02-25,55.5,16.4987,3,-491705656.4,588224779.3,1079930435.7,1668155215.0,2,9,-462665198.2,107511649.6,570176847.8,83.47107438,112.07489492,203.44450519,133.85240409
117,600602,云赛智联,2025-02-25,28.8,7.8248,3,726020211.63,1978836271.42,1252816059.79,3231652331.21,3,0,327946754.37,327946754.37,0.0,106.4516129,92.38476954,203.15789474,139.88102869
118,688343,云天励飞,2025-02-25,82.26,20.0,3,82795297.8700001,1432437455.1,1349642157.23,2782079612.33,1,0,55572510.78,55572510.78,0.0,61.99291059,121.18849153,255.18134715,110.92307692
119,000032,深桑达A,2025-02-24,31.32,10.0105,3,467224396.56,1970231679.32,1503007282.76,3473238962.08,3,2,142603696.35,247462085.4,104858389.05,92.73846154,65.88983051,152.37711523,67.09272636
120,002779,中坚科技,2025-02-24,133.25,-9.9966,3,134550590.26,631149223.48,496598633.22,1127747856.7,15,12,128047028.78,428831108.98,300784080.2,44.19435126,126.7699115,305.26155718,319.44030227
121,301157,华塑科技,2025-02-24,63.87,4.8596,3,-38554302.31,119108478.49,157662780.8,276771259.29,8,9,-43441046.21,49714724.15,93155770.36,22.59117083,62.51908397,110.44481054,101.75030185
122,900901,云赛B股,2025-02-24,0.881,9.9875,3,1658606.67,4822845.12,3164238.45,7987083.57,0,0,0.0,0.0,0.0,40.2866242,35.33026114,87.44680851,57.36697896
123,300738,奥飞数据,2025-02-21,23.9,19.9799,3,59192824.9500001,1561981873.39,1502789048.44,3064770921.83,4,4,174108031.97,412311456.37,238203424.4,83.84615385,83.00153139,164.67331118,179.75414555
124,603315,福鞍股份,2025-02-21,13.74,-7.35,3,4263943.31999999,219985261.0,215721317.68,435706578.68,0,0,0.0,0.0,0.0,24.68239564,31.73537872,51.82320442,52.78859398
125,605255,天普股份,2025-02-21,17.23,-6.5618,3,-22672073.49,81560530.56,104232604.05,185793134.61,0,0,0.0,0.0,0.0,29.8417483,29.96647673,37.52148009,51.84301608
126,871478,巨能股份,2025-02-21,36.66,5.2239,3,3371586.05,81924237.01,78552650.96,160476887.97,0,0,0.0,0.0,0.0,20.27559055,36.48548027,186.40625,112.3986095
127,002213,大为股份,2025-02-20,19.19,4.2935,3,-5579803.83999997,535967126.56,541546930.4,1077514056.96,6,6,53664937.0,233812175.0,180147238.0,37.46418338,64.43873179,109.49781659,122.62180974
128,601921,浙版传媒,2025-02-20,9.65,10.0342,3,-61572268.64,140907416.36,202479685.0,343387101.36,0,2,-63294390.0,0.0,63294390.0,30.75880759,22.30671736,10.91954023,32.79107509
129,603270,金帝股份,2025-02-20,25.27,2.7236,3,-50157280.97,194606840.48,244764121.45,439370961.93,1,0,7973889.0,7973889.0,0.0,20.79349904,36.05762299,44.22478278,22.32313473
130,603789,星光农机,2025-02-20,7.66,-7.8219,3,-31247120.97,53594715.33,84841836.3,138436551.63,0,0,0.0,0.0,0.0,0.3931848,-9.7762073,12.97935103,29.83050847
131,002520,日发精机,2025-02-19,8.16,5.4264,3,88328766.51,612192134.25,523863367.74,1136055501.99,9,9,18382531.8,332893277.66,314510745.86,35.32338308,69.64656965,119.35483871,109.23076923
132,603286,日盈电子,2025-02-19,29.81,10.0,3,83734997.46,374185942.46,290450945.0,664636887.46,0,0,0.0,0.0,0.0,61.04808212,61.48429036,86.42901814,126.10485242
133,900945,海控B股,2025-02-19,0.277,9.9206,3,153127.29,625388.71,472261.42,1097650.13,0,0,0.0,0.0,0.0,-15.29051988,-5.46075085,60.11560694,52.1978022
134,300478,杭州高新,2025-02-18,16.2,4.3142,3,21913998.6,232425711.76,210511713.16,442937424.92,3,3,18745336.5,30778669.0,12033332.5,84.51025057,52.83018868,121.91780822,103.51758794
135,600892,大晟文化,2025-02-18,3.91,10.1408,3,58510003.47,117827762.0,59317758.53,177145520.53,0,2,-10379795.0,0.0,10379795.0,8.91364903,-16.27408994,-2.73631841,5.39083558
136,603039,泛微网络,2025-02-18,71.91,-10.0,3,-21299352.8,350342706.24,371642059.04,721984765.28,4,3,2742721.68000001,85814913.0,83072191.32,53.0651341,24.28275147,160.17768708,102.22313429
137,300078,思创医惠,2025-02-17,5.27,15.0655,3,-98877094.77,454448621.94,553325716.71,1007774338.65,6,6,87566648.95,229079150.78,141512501.83,82.98611111,48.8700565,84.26573427,147.41784038
138,430300,辰光医疗,2025-02-17,19.0,13.7725,3,-3437079.71000001,83421981.52,86859061.23,170281042.75,0,0,0.0,0.0,0.0,51.51515152,47.28682171,161.70798898,80.78020932
139,600696,岩石股份,2025-02-17,11.86,4.2179,3,-9442026.64,43472421.35,52914447.99,96386869.34,0,0,0.0,0.0,0.0,4.49339207,-22.12738017,28.63340564,7.1364047
140,600843,上工申贝,2025-02-17,15.8,2.3316,3,52059297.87,623053897.94,570994600.07,1194048498.01,0,0,0.0,0.0,0.0,29.61443806,26.70408982,88.54415274,301.86032966
141,300287,飞利信,2025-02-14,7.19,20.0334,3,192268554.78,716488074.19,524219519.41,1240707593.6,1,1,-11880594.0,1797932.0,13678526.0,82.95165394,26.14035088,197.10743802,170.30075188
142,002364,中恒电气,2025-02-13,17.51,9.9874,3,78769929.0,859382878.44,780612949.44,1639995827.88,10,10,-20968284.27,405342482.49,426310766.76,24.71509972,136.62162162,191.34775374,272.87466656
143,430556,雅达股份,2025-02-13,14.4,23.8177,3,-109401605.64,109172905.54,218574511.18,327747416.72,0,0,0.0,0.0,0.0,98.62068966,62.71186441,230.27522936,225.16463436
144,600811,东方集团,2025-02-13,2.37,10.2326,3,95999677.76,270674054.3,174674376.54,445348430.84,0,0,0.0,0.0,0.0,15.6097561,-29.8816568,70.50359712,47.20496894
145,603893,瑞芯微,2025-02-13,169.96,-8.1397,3,510349766.65,1934465207.4,1424115440.75,3358580648.15,5,6,-408514503.01,338414860.9,746929363.91,34.05951437,84.25928923,205.44596923,228.55798887
146,300220,金运激光,2025-02-12,21.0,20.0,3,-2571217.50000001,168402121.87,170973339.37,339375461.24,9,9,3829476.74,87438566.36,83609089.62,60.18306636,55.55555556,202.59365994,277.69784173
147,002131,利欧股份,2025-02-11,4.71,3.7445,3,186791638.58,1964680521.87,1777888883.29,3742569405.16,3,3,-30933178.72,129949020.09,160882198.81,29.75206612,125.35885167,224.82758621,119.00273394
148,600666,奥瑞德,2025-02-11,3.04,10.1449,3,9704597.00999999,165138764.59,155434167.58,320572932.17,0,0,0.0,0.0,0.0,38.81278539,8.18505338,120.28985507,93.63057325
149,688078,龙软科技,2025-02-11,41.74,20.0115,3,794849.129999999,74985028.46,74190179.33,149175207.79,0,0,0.0,0.0,0.0,76.19248628,37.39302172,102.62135922,75.1295361
150,601929,吉视传媒,2025-02-10,2.16,10.2041,3,74131416.76,212356990.76,138225574.0,350582564.76,0,0,0.0,0.0,0.0,22.03389831,5.88235294,94.59459459,43.04635762
151,003005,竞业达,2025-02-07,40.56,10.0081,3,23470419.78,237573714.4,214103294.62,451677009.02,8,9,7898434.64,90855426.0,82956991.36,56.84454756,47.00978615,66.98229724,119.71830986
152,000882,华联股份,2025-02-06,2.75,-9.5395,3,-197112953.04,477270767.0,674383720.04,1151654487.04,2,2,-86026514.0,12327422.0,98353936.0,9.12698413,36.8159204,139.13043478,106.76691729
153,301512,智信精密,2025-02-06,50.95,-5.6481,3,-1921920.0,144133361.0,146055281.0,290188642.0,2,3,-11313015.0,12026113.0,23339128.0,42.08031233,18.81996269,27.31134433,45.31761679
154,603928,兴业股份,2025-02-06,11.09,-5.6973,3,-38983007.7,128165298.1,167148305.8,295313603.9,0,0,0.0,0.0,0.0,41.63473819,31.24260355,51.74409381,80.67206449
155,605069,正和生态,2025-02-06,8.29,-2.6995,3,-3629965.81,67951990.18,71581955.99,139533946.17,0,1,-7989499.4,0.0,7989499.4,17.42209632,-1.07398568,42.43986254,32.42811502
156,300229,拓尔思,2025-02-05,26.53,19.991,3,62074210.38,1014605163.94,952530953.56,1967136117.5,7,7,81617367.2,418095155.4,336477788.2,44.02823018,62.66094421,110.72279587,130.20179519
157,300840,酷特智能,2025-02-05,26.1,-8.2601,3,-158868165.66,504810434.34,663678600.0,1168489034.34,9,9,-69221879.66,338929577.34,408151457.0,43.88092613,128.94736842,203.48837209,70.67173843
158,301248,杰创智能,2025-02-05,19.0,-4.8096,3,98435385.46,360873944.24,262438558.78,623312503.02,1,1,4362491.0,7485220.0,3122729.0,34.65627215,25.0,27.60241773,65.22337708
159,603729,龙韵股份,2025-02-05,16.35,-6.6248,3,-13981032.9,131421673.6,145402706.5,276824380.1,1,2,-10046889.0,6950160.0,16997049.0,18.39246923,5.28010303,28.33594976,-22.0686368
160,000506,*ST中润,2025-02-26,6.24,5.0505,2,-8547358.83999999,127305452.79,135852811.63,263158264.42,2,2,2308945.37,16248945.0,13939999.63,60.41131105,101.94174757,433.33333333,93.78881988
161,000892,欢瑞世纪,2025-02-26,5.15,10.0427,2,-18290760.8,187105215.88,205395976.68,392501192.56,2,3,-19033771.0,20416980.0,39450751.0,59.9378882,31.043257,104.36507937,67.20779221
162,000980,众泰汽车,2025-02-26,2.63,10.0418,2,10216101.45,538151135.23,527935033.78,1066086169.01,0,0,0.0,0.0,0.0,25.83732057,3.54330709,67.51592357,7.78688525
163,002501,利源股份,2025-02-26,2.76,9.9602,2,34244436.2,100072490.2,65828054.0,165900544.2,1,2,-2942942.0,2697501.0,5640443.0,73.58490566,70.37037037,165.38461538,124.3902439
164,002522,浙江众成,2025-02-26,6.69,10.0329,2,-24912913.91,327304065.19,352216979.1,679521044.29,2,2,-1317866.45,51381636.44,52699502.89,74.21875,57.41176471,132.29166667,75.59054229
165,002580,圣阳股份,2025-02-26,14.1,9.9844,2,103533962.96,368675720.96,265141758.0,633817478.96,7,7,29603887.54,184603977.34,155000089.8,57.19063545,54.60526316,149.55752212,112.47780348
